,precision,recall,f1-score,support
NORM,0.8330804248861912,0.8641133263378804,0.8483131599278908,1906.0
MI,0.7840593141797961,0.7775735294117647,0.7808029533917858,1088.0
STTC,0.5762081784386617,0.5486725663716814,0.5621033544877606,565.0
CD,0.6536082474226804,0.6817204301075269,0.6673684210526316,465.0
HYP,0.4057971014492754,0.32061068702290074,0.3582089552238806,262.0
accuracy,0.7475501633224452,0.7475501633224452,0.7475501633224452,0.7475501633224452
macro avg,0.650550653275321,0.6385381078503507,0.6433593688167899,4286.0
weighted avg,0.7411834157978998,0.7475501633224452,0.7438553321177176,4286.0
